statename,rank,countryd,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
CALIFORNIA,2,Japan,40842.51,39839.17,41473.43,38365.9,12.4799,11.3308,11.0177,10.0722,-7.49
CALIFORNIA,3,Mexico,32760.79,33641.22,36038.66,36240.91,10.0105,9.5681,9.574,9.5144,0.56
CALIFORNIA,4,Canada,21642.29,20513.05,25820.49,26334.07,6.6131,5.8342,6.8594,6.9135,1.99
CALIFORNIA,5,Germany,7578.54,9889.41,12043.24,13058.2,2.3157,2.8127,3.1994,3.4282,8.43
CALIFORNIA,6,"Korea, South",12128.66,11779.82,12273.33,12967.36,3.7061,3.3504,3.2605,3.4043,5.65
CALIFORNIA,7,Malaysia,10616.04,9984.93,9811.22,11352.06,3.2439,2.8399,2.6064,2.9803,15.7
CALIFORNIA,8,Taiwan,9796.71,10731.97,11197.5,10931.45,2.9935,3.0523,2.9747,2.8698,-2.38
CALIFORNIA,9,Thailand,7770.52,7864.84,8409.56,9048.43,2.3744,2.2369,2.2341,2.3755,7.6
CALIFORNIA,10,Saudi Arabia,5313.88,8740.77,8469.16,8804.97,1.6237,2.486,2.2499,2.3116,3.97
CALIFORNIA,11,Ecuador,5205.4,7496.68,6400.47,7354.49,1.5906,2.1322,1.7003,1.9308,14.91
CALIFORNIA,12,Vietnam,4065.04,4700.17,5491.48,6711.61,1.2421,1.3368,1.4589,1.762,22.22
CALIFORNIA,13,Iraq,4601.28,4732.63,6173.59,5210.65,1.406,1.346,1.6401,1.368,-15.6
CALIFORNIA,14,Indonesia,3881.97,4254.04,4613.77,4919.83,1.1862,1.2099,1.2257,1.2916,6.63
CALIFORNIA,15,Singapore,3178.93,3448.41,3513.48,3920.23,0.9714,0.9808,0.9334,1.0292,11.58
CALIFORNIA,16,India,2761.61,2860.62,2880.39,3395.95,0.8438,0.8136,0.7652,0.8915,17.9
CALIFORNIA,17,United Kingdom,2815.74,2877.05,4152.31,3041.28,0.8604,0.8183,1.1031,0.7984,-26.76
CALIFORNIA,18,Italy,1989.35,2397.03,2881.37,3039.18,0.6079,0.6818,0.7655,0.7979,5.48
CALIFORNIA,19,Philippines,2248.4,2888.09,3128.92,3009.83,0.687,0.8214,0.8312,0.7902,-3.81
CALIFORNIA,20,Colombia,1255.91,3008.7,4131.81,2865.22,0.3838,0.8557,1.0976,0.7522,-30.65
CALIFORNIA,21,France,2521.1,2493.98,2502.19,2860.21,0.7704,0.7093,0.6647,0.7509,14.31
CALIFORNIA,22,Ireland,2793.93,2967.44,2946.56,2613.57,0.8537,0.844,0.7828,0.6861,-11.3
CALIFORNIA,23,Brazil,2641.32,2904.95,2410.42,2481.47,0.8071,0.8262,0.6403,0.6515,2.95
CALIFORNIA,24,Switzerland,1774.29,1815.24,1989.38,2109.47,0.5422,0.5163,0.5285,0.5538,6.04
CALIFORNIA,25,Australia,1457.67,2105.13,1972.56,1960.9,0.4454,0.5987,0.524,0.5148,-0.59
COLORADO,0,World,11357.7,11745.38,12648.72,12808.4,0.5934,0.5319,0.5559,0.5649,1.26
COLORADO,0,Top 25,10581.18,11040.41,11960.92,12078.01,93.1631,93.9979,94.5623,94.2976,0.98
COLORADO,1,Canada,3509.09,3865.44,4450.16,4035.36,30.8962,32.9103,35.1827,31.5056,-9.32
COLORADO,2,China,2098.72,1938.56,1865.05,1923.64,18.4784,16.5049,14.745,15.0186,3.14
COLORADO,3,Mexico,652.08,682.23,1089.16,1345.73,5.7413,5.8085,8.6108,10.5066,23.56
COLORADO,4,Switzerland,415.31,557.2,539.4,640.23,3.6566,4.744,4.2644,4.9985,18.69
COLORADO,5,Germany,543.42,590.85,590.95,569.54,4.7846,5.0305,4.672,4.4466,-3.62
COLORADO,6,Australia,321.86,356.6,355.41,393.29,2.8339,3.0361,2.8098,3.0706,10.66
COLORADO,7,India,386.05,399.42,377.4,376.41,3.399,3.4007,2.9837,2.9388,-0.26
COLORADO,8,"Korea, South",187.49,237.22,229.59,299,1.6507,2.0197,1.8151,2.3344,30.23
COLORADO,9,United Kingdom,193.33,224.32,249.21,276.07,1.7022,1.9099,1.9702,2.1554,10.78
COLORADO,10,Italy,199.24,199.38,354.36,224.79,1.7542,1.6975,2.8016,1.755,-36.57
COLORADO,11,Taiwan,447.77,216.21,205.22,196.58,3.9424,1.8408,1.6224,1.5348,-4.21
COLORADO,12,Austria,210.99,217.88,196.4,192.95,1.8577,1.855,1.5527,1.5064,-1.76
COLORADO,13,Malaysia,98.56,90.81,148.03,191.71,0.8678,0.7732,1.1703,1.4967,29.5
COLORADO,14,Vietnam,95.38,125.59,144.05,174.23,0.8398,1.0693,1.1388,1.3603,20.95
COLORADO,15,Japan,220.12,225.47,216.89,172.25,1.9381,1.9196,1.7147,1.3448,-20.58
COLORADO,16,France,223.64,231.42,178.22,172.04,1.969,1.9703,1.409,1.3432,-3.47
COLORADO,17,Netherlands,139.77,133.09,142.5,154.71,1.2306,1.1332,1.1266,1.2079,8.57
COLORADO,18,Spain,62.05,154.21,144.95,120.31,0.5463,1.313,1.146,0.9393,-17
COLORADO,19,Brazil,30.99,30.01,32.04,105.62,0.2728,0.2555,0.2533,0.8247,229.69
COLORADO,20,Sweden,143.16,139.43,108.36,105.14,1.2604,1.1871,0.8567,0.8208,-2.97
COLORADO,21,Slovenia,109.56,123.19,102.88,97.44,0.9646,1.0489,0.8134,0.7608,-5.28
COLORADO,22,Thailand,116.7,67.68,69.48,93.76,1.0275,0.5762,0.5493,0.732,34.96
COLORADO,23,Denmark,141.53,182.96,131.36,82.36,1.2461,1.5577,1.0386,0.643,-37.3
COLORADO,24,Argentina,5.28,9.61,8.68,69.16,0.0465,0.0818,0.0686,0.54,696.72
COLORADO,25,New Zealand,29.09,41.6,31.18,65.69,0.2561,0.3542,0.2465,0.5129,110.71
CONNECTICUT,0,World,18651.52,24028.24,21497.06,21520.55,0.9746,1.0882,0.9448,0.9491,0.11
CONNECTICUT,0,Top 25,16474.3,21590.2,19449.94,19569.06,88.3268,89.8535,90.4772,90.932,0.61
CONNECTICUT,1,Canada,2838.2,3688.16,3438.77,3770.88,15.217,15.3493,15.9965,17.5222,9.66
CONNECTICUT,2,China,2395.44,2718.7,2644.66,2777.94,12.8431,11.3146,12.3024,12.9083,5.04
CONNECTICUT,3,Germany,1284.9,1434.91,1613.97,1513.78,6.889,5.9718,7.5079,7.0341,-6.21
CONNECTICUT,4,United Kingdom,1686.31,1986.9,1933.75,1466.85,9.0411,8.269,8.9954,6.816,-24.14
CONNECTICUT,5,Japan,841.04,882.57,993.97,1069.33,4.5093,3.6731,4.6238,4.9689,7.58
CONNECTICUT,6,Chile,300.06,568.79,604.84,1051.78,1.6088,2.3672,2.8136,4.8873,73.89
CONNECTICUT,7,Mexico,2565.72,4332.87,1692.61,1016.02,13.7561,18.0324,7.8737,4.7211,-39.97
CONNECTICUT,8,Netherlands,694.52,1443.98,1445.94,991.83,3.7237,6.0095,6.7262,4.6087,-31.41
CONNECTICUT,9,France,540.36,731.6,716.56,881.4,2.8971,3.0448,3.3333,4.0956,23
CONNECTICUT,10,Ireland,141.28,66.39,93.12,600.27,0.7575,0.2763,0.4332,2.7893,544.66
CONNECTICUT,11,Singapore,153.03,174.94,296.62,589.47,0.8205,0.7281,1.3798,2.7391,98.73
CONNECTICUT,12,Poland,294.46,407.51,503.22,545.07,1.5787,1.6959,2.3409,2.5328,8.31
CONNECTICUT,13,Italy,411.27,477.21,512.06,495.54,2.205,1.986,2.382,2.3026,-3.23
CONNECTICUT,14,Switzerland,313.06,412.39,369.85,405.74,1.6785,1.7163,1.7205,1.8854,9.7
CONNECTICUT,15,Sweden,296.57,336.23,293.45,296.69,1.5901,1.3993,1.3651,1.3786,1.1
CONNECTICUT,16,Taiwan,293.48,245.67,282.71,291.45,1.5735,1.0224,1.3151,1.3543,3.09
CONNECTICUT,17,Israel,195.2,222.41,246.62,288.08,1.0466,0.9256,1.1472,1.3386,16.81
CONNECTICUT,18,Brazil,205.36,284.79,390.8,270.15,1.101,1.1852,1.8179,1.2553,-30.87
CONNECTICUT,19,South Africa,207.2,164.53,210.84,205.32,1.1109,0.6847,0.9808,0.9541,-2.62
CONNECTICUT,20,Belgium,134.49,154.88,197.23,205.02,0.721,0.6446,0.9175,0.9527,3.95
CONNECTICUT,21,India,149.89,193.47,228.28,195,0.8036,0.8052,1.0619,0.9061,-14.58
CONNECTICUT,22,Turkey,148.39,170.79,205.56,164.31,0.7956,0.7108,0.9562,0.7635,-20.07
CONNECTICUT,23,Spain,137.14,149.25,169.73,161.67,0.7353,0.6211,0.7895,0.7512,-4.75
CONNECTICUT,24,"Korea, South",121.37,141.81,188.13,158.02,0.6507,0.5902,0.8752,0.7343,-16
CONNECTICUT,25,Malaysia,125.56,199.46,176.64,157.47,0.6732,0.8301,0.8217,0.7317,-10.85
DELAWARE,0,World,9726.01,12167.2,13556.91,10124.34,0.5082,0.551,0.5958,0.4465,-25.32
DELAWARE,0,Top 25,8836.01,10206.61,11249.43,9340.24,90.8493,83.8862,82.9794,92.2553,-16.97
DELAWARE,1,Russia,0.2,1043.59,1745.58,1481.25,0.002,8.5771,12.8759,14.6306,-15.14
DELAWARE,2,Canada,463.66,365.55,710.56,1456.93,4.7672,3.0044,5.2414,14.3904,105.04
DELAWARE,3,Belgium,1516.25,1391.47,516.03,1064.54,15.5896,11.4362,3.8064,10.5147,106.3
DELAWARE,4,United Kingdom,3844.25,3732.25,2767.98,1012.83,39.5254,30.6746,20.4175,10.0039,-63.41
DELAWARE,5,France,1132.08,412.1,702.67,731.42,11.6397,3.3869,5.1831,7.2244,4.09
DELAWARE,6,China,486.33,574.45,474.34,473.58,5.0003,4.7213,3.4988,4.6776,-0.16
DELAWARE,7,Nigeria,0.09,58.87,356.9,385.3,0.001,0.4838,2.6326,3.8057,7.96
